start_frame,end_frame,comment,duration_s,num_samples,sample_rate_hz,velocity_mean,velocity_std,velocity_min,velocity_max,velocity_range,acceleration_mean,acceleration_std,acceleration_min,acceleration_max,acceleration_range,jerk_mean,jerk_std,jerk_min,jerk_max,jerk_rms,max_deceleration,deceleration_events,velocity_zero_crossings,acceleration_reversals,motion_smoothness,jerk_per_second,accel_changes_per_second,distance_traveled,clip_name,scene_id,total_frames,fps
556,707,left turn and lane change to right in quick succession,4.25,638,150.11764705882354,-6.9561559647515425,1.9738964053186911,-10.982728702927702,-3.204981132335016,7.777747570592686,1.2660591206317096,15.031951398587058,-20.0,20.0,40.0,1.4457017033161526,49.83208994513875,-50.0,50.0,49.81400426001801,-20.0,288,0,296,0.01967961420404788,11.720942178827768,69.6470588235294,-29.563662850194056,27THtUECrc24kdXgvZdRjFO1rscW0TAI__Spring_2020.mp4,27THtUECrc24kdXgvZdRjFO1rscW0TAI__Spring_2020,1166,10.0
288,350,left oversteering turn near miss with parked car on right curb,6.19791567325592,930,150.05044421836214,6.5430319623610185,1.7860752857550486,2.179129529787051,9.813276536226672,7.634147006439621,0.4368766014093645,15.307142868000998,-20.0,20.0,40.0,1.6374306931881244,49.75086129257832,-50.0,50.0,49.75105957617022,-20.0,442,0,422,0.01970402211010275,8.027062999718863,68.08740587112777,40.5531603501318,2BkCiI45PU2Gtj9716t6V3UccKKAsxkD__Spring_2020.mp4,2BkCiI45PU2Gtj9716t6V3UccKKAsxkD__Spring_2020,1144,10.0
280,448,perfect right steer,16.794977009296417,2519,149.9853199326009,7.059537455495291,0.39717653434910244,4.912689452390335,9.9735046285932,5.0608151762028655,0.05991416524548026,15.646628551453537,-20.0,20.0,40.0,0.3659660611096245,49.8479482159457,-50.0,50.0,49.83939648702901,-20.0,1256,0,1172,0.019669785030889116,2.9675179941861027,69.78276894045584,118.56476926131035,2DYjREaZgWJd5xYP6C76omNR1GNdtIys__Spring_2020.mp4,2DYjREaZgWJd5xYP6C76omNR1GNdtIys__Spring_2020,1160,10.0
201,448,3 vehicle near miss - confusion,24.69731569290161,3705,150.01630323188823,0.16544015918094496,0.18721650673359402,-0.4733651425886521,0.8080396028763128,1.2814047454649649,-0.0244265278348404,4.947130802010316,-20.0,20.0,40.0,-2.47325821517617,47.94841281715808,-50.0,50.0,48.0056951984765,-20.0,1885,122,1774,0.02040579152994218,1.943761653914238,71.82966853802152,4.085927839575692,2E8su1EVHLnvOShfJ4HrSSxwH46hNd3E__Summer_2020.mp4,2E8su1EVHLnvOShfJ4HrSSxwH46hNd3E__Summer_2020,1175,10.0
381,472,near miss - men standing by parked car to right,9.09738177061081,1365,150.0431700480733,0.000281499189901857,0.0011842954658285683,-0.0058772464917462896,0.006800589979657358,0.012677836471403647,-0.005441875791965066,0.2591643077125849,-2.6638733231920595,1.4985350766082544,4.162408399800314,-0.6399621914339335,32.52521905951921,-50.0,50.0,32.51960048307537,-2.6638733231920595,684,524,669,0.02983329113677585,3.5746109488479747,73.53764158400077,0.002560905598654864,2GTxggHXDhco2lKaT5Xyig97wuDepNrR__Autumn_2020.mp4,2GTxggHXDhco2lKaT5Xyig97wuDepNrR__Autumn_2020,1158,10.0
561,664,stop sign overshoot,3.75,563,150.13333333333333,0.36122524745475604,0.3203294428385212,-0.15385603828679487,1.3290963698777456,1.4829524081645404,-0.006467894041427605,6.027773107931172,-20.0,20.0,40.0,0.9736893592000324,47.15117133523099,-50.0,50.0,47.11933918510918,-20.0,253,39,247,0.02078166527086174,12.565157116029116,65.86666666666666,1.354594677955335,2GTxggHXDhco2lKaT5Xyig97wuDepNrR__Autumn_2020.mp4,2GTxggHXDhco2lKaT5Xyig97wuDepNrR__Autumn_2020,1158,10.0
0,82,man crossing with dog ahead,8.197418332099915,1079,131.6268069149028,-0.07321081350550317,0.1019203287969373,-0.5264254893401668,0.1290500135499632,0.65547550289013,-0.08777255155060085,5.010759860092058,-20.0,20.0,40.0,3.1694146270762342,47.94632793799053,-50.0,50.0,48.02879359243497,-20.0,554,150,545,0.02039617797477884,5.859014588088192,66.48434640280077,-0.6001396647379597,2IVIm4FhjMsL77DEo3c6v0QhMNFfsndj__Autumn_2020.mp4,2IVIm4FhjMsL77DEo3c6v0QhMNFfsndj__Autumn_2020,1164,10.0
425,560,women on ego lane,13.497444748878479,2025,150.02839705406166,1.1482930251070906,2.0441117869950127,-0.45866640032298706,7.562895611061555,8.021562011384543,0.3694888618615244,8.830391691747657,-20.0,20.0,40.0,3.4845686395407554,46.5463670230969,-50.0,50.0,46.665153952007785,-20.0,921,268,984,0.020979686775099093,3.4573324670127104,72.90268775367737,15.499021661905484,2IVIm4FhjMsL77DEo3c6v0QhMNFfsndj__Autumn_2020.mp4,2IVIm4FhjMsL77DEo3c6v0QhMNFfsndj__Autumn_2020,1164,10.0
458,628,"single lane diverges to dual lane, disregards lead vehicle and overtakes",14.044977068901062,2104,149.80444536707427,0.00036470298755347173,0.013631250263056867,-0.11491876605935429,0.09652727321869363,0.21144603927804792,-0.010695851174031016,2.263663484610717,-16.185026538715753,20.0,36.18502653871575,2.170440742738126,47.392820448500615,-50.0,50.0,47.431241970196474,-16.185026538715753,1058,627,1042,0.020647828949242684,3.3770964336581644,74.19022436905485,0.00512224509714822,2Ist0LOT9h4dc4NNFmoASoQ11LUPHTkP__Summer_2020.mp4,2Ist0LOT9h4dc4NNFmoASoQ11LUPHTkP__Summer_2020,1165,10.0
472,532,right turn oversteering - near miss,5.997763276100159,900,150.0559389508274,-4.988064889308355,2.981517317748245,-10.438847615159744,0.3894626700182243,10.828310285177968,1.2767022047958674,13.777794834591504,-20.0,20.0,40.0,-0.23009748118376075,49.610523690788135,-50.0,50.0,49.58348852739538,-20.0,375,4,411,0.019769296841960843,8.26699658603988,68.52554545421118,-29.91723241189825,2KIMG1sZ0zRBYUHbJRoFfwAYvHJ4LRZu__Winter_2021.mp4,2KIMG1sZ0zRBYUHbJRoFfwAYvHJ4LRZu__Winter_2021,1155,10.0
30,205,pedestrian crossed ahead,17.494977056980133,2624,149.9859068950924,0.25652631091193756,1.560275858005064,-2.260714185795903,3.9991529369285024,6.259867122724406,0.13989022833357673,7.55151880503945,-20.0,20.0,40.0,-0.19126279519871212,40.01910952560184,-50.0,50.0,40.01194034078737,-20.0,1317,459,1269,0.024383142852801718,2.2870530330203227,72.53510512571351,4.4879219239161,2M2gvnw2o0IlxViTtiJPHeK1PANqGZx4__Autumn_2020.mp4,2M2gvnw2o0IlxViTtiJPHeK1PANqGZx4__Autumn_2020,1156,10.0
